Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE,-0.7218387769008128,-2.415787123555519,0.0,0.0,0.0,215/485,11.64%,CDK1;MCM4;RAD21;TYMS;DEK;TOP2A;CDC20;CA9;CKS1B;FOXM1;ILF2;CCNB2;ECT2;DLGAP5;RHEB;SDC1;HACD3;PRC1;CCNB1;USP1;EFNA3;SMS;TPX2;PRKDC;KIFC1;CHEK1;NUF2;NUDCD2;MCM2;TMEM45A;TK1;CANX;NUSAP1;UBE2C;SMC4;HDGF;FANCI;UBE2T;CDKN3;MKI67;PKM;RTN3;ANLN;BUB1;WDHD1;MANF;RFC4;PTTG1;CBX3;TUBA1C;CENPU;GPAA1;ACTL6A;RMI2;MAD2L1;MELK;HLTF;CKAP2L;EZH2;KIF23;TTK;CENPF;LMNB1;GPT2;ERH;ANP32E;TPGS2;KIF2C;PLK1;KIF4A;CDCA2;RBBP7;PCLAF;ORC6;TFDP1;SHCBP1;NDC80;BTG3;CCNA2;MCM3;PPM1G;TMEM97;SPC25;XRCC6;MCM10;CAPG;CEP70;ARPP19;AURKB;CDT1;SLBP;NCAPD3;GGH;SNRPG;GGCT;HPRT1;NEK2;HCFC1R1;CENPX;NUCKS1;CDCA5;KIF15;CYCS;SKA3;ECI1;POLR2H;UBE2I;PDIA3;CKS2;RFC2;PDIA6;KIF5B;CNIH4;SSRP1;ATAD2;SET;CENPN;CENPO;DRAP1;DIAPH3;KNSTRN;BIRC5;PCNA;ZNF367;NSD2;NCAPG2;KIF11;BANF1;CALM2;KNL1;PLP2;CKAP2;CKAP5;BCL7C;SERBP1;TRIM59;FAM83D;ENO1;VBP1;HJURP;CENPM;MORF4L2;CENPL;EIF4A3;KIF20A;PRIM2;FIBP;GTSE1;TUBA1B;TCF19;ZWINT;LSM3;AAMDC;LSM4;SKP2;SAMD1;NCAPG;ESCO2;SNRPB;HMMR;SIVA1;FBXO5;BUB1B;PGAM1;JPT1;SGO1;E2F1;ARPC1A;RNPS1;CDCA7L;ATAD5;CDCA3;DEPDC1;COX20;DHFR;COPRS;RBM8A;SPC24;EFEMP2;TACC3;CDKN2C;PBK;MTFP1;ANAPC11;TROAP;HAT1;TUBG1;CIT;WEE1;SAC3D1;CIP2A;UQCC2;ARHGAP11A;CENPE;LSM5;WDR76;HSPA8;CSE1L;RAD51AP1;ASPM;CEP295;PSRC1;CCDC167;GMNN;MMS22L;CDCA4;HSP90B1;DBF4;KIF22;NDUFAF3;TUBB;DTL;SUPT16H;HMGB2;PSMC3
prerank,SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE,-0.7858945943401394,-2.3745288132598645,0.0,0.0,0.0,123/214,12.06%,CDK1;RAD21;TYMS;DEK;TOP2A;YWHAZ;CDC20;CKS1B;FOXM1;CEP55;SUMO3;CCNB2;ENY2;PRC1;CCNB1;COX6C;MYO10;NAXE;TPX2;POLR2K;KIFC1;TRIP13;NUF2;TK1;NUSAP1;UBE2C;SMC4;UBE2T;CDKN3;MKI67;CLSPN;ANLN;SRP9;PTTG1;CENPU;MAD2L1;CKAP2L;KIF23;CENPF;ANP32E;GLO1;PLK1;KIF4A;RBBP7;CYC1;PCLAF;HMGN1;NDC80;ATP5MF;LAMTOR2;CENPA;CCNA2;METTL9;TMEM97;SPC25;GLRX5;SNRPC;AURKB;CDT1;KRTCAP2;GGH;SNRPG;HMGB3;YBX1;NEK2;NDUFB2;CDCA5;HDAC2;NME1;AURKAIP1;AURKA;PKMYT1;ATAD2;PXDN;CENPN;PGP;DIAPH3;KNSTRN;NDUFS8;BIRC5;PCNA;TXNDC17;NDUFS6;BANF1;COX8A;ATP5F1E;CKAP2;HJURP;ADAM15;GTSE1;TUBA1B;ZWINT;SNRPB;HMMR;SIVA1;SGO1;DYNLL1;ATP5MC3;BOLA3;CDCA3;DEPDC1;DHFR;RBM8A;TACC3;ST3GAL4;PBK;SMTN;KPNA2;TROAP;TUBG1;SAC3D1;ARHGAP11A;CENPE;RAD51AP1;ASPM;PSRC1;GMNN;CDCA4;KIF22;NDUFB11;ASF1B;TMEM106C;SMC2
prerank,DESCARTES_FETAL_EYE_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL_CELLS,-0.7301669320255703,-2.354685068274981,0.0,0.0,0.0,65/224,3.48%,S100A9;S100A8;MUC1;EPCAM;CP;LCN2;MSLN;LY6E;SLPI;DSP;CDKN2A;GABRP;MAL2;KRT7;KRT8;CLDN4;RAB25;KRT23;CLDN3;KRT19;SLC34A2;CLDN7;TACSTD2;PRSS8;SPINT2;KRT5;RARRES1;GRHL2;FAM83H;SPINT1;NHP2;ELF3;ASS1;S100A6;MACC1;CD9;TSTD1;TRIM29;SDC1;PSCA;SYT8;LGALS3;PRSS22;WFDC2;CFB;SERINC2;SMIM22;IER3IP1;ST14;FXYD3;CD82;S100P;PPDPF;BBOX1;CHI3L1;TMEM54;ABHD11;EVPL;PERP;NECTIN4;CDKN2B;MYH14;SDC4;F3;KRT15
prerank,ZHONG_PFC_C1_MICROGLIA,-0.7446531775003646,-2.3460445906791465,0.0,0.0,0.0,101/234,11.54%,DHCR24;CDK1;MCM4;RAD21;DEK;TOP2A;CKS1B;ILF2;CCNB2;RHEB;RCC1;PRC1;CCNB1;EBNA1BP2;FEN1;TPX2;NUF2;TK1;NUSAP1;UBE2C;UBE2T;CDKN3;ANLN;BUB1;WDHD1;RFC4;NME4;STIL;CKAP2L;ALG3;KIF23;CENPF;KIF2C;PLK1;KIF4A;RBBP7;PCLAF;ORC6;SHCBP1;NDC80;TMED9;SEC13;CCNA2;MCM3;SPC25;AURKB;GGCT;GART;CTPS1;NUCKS1;CDCA5;NDUFA6;CYCS;SKA3;GINS1;CKS2;ERI3;RFC2;AURKA;RRP1;ATAD2;LSM2;DIAPH3;BIRC5;PCNA;TXNDC17;KIF11;RPF2;COA8;CKAP2;FAM83D;HJURP;GTSE1;TUBA1B;TCF19;ZWINT;DCAF12;ESCO2;SNRPB;HMMR;SGO1;ABCE1;TMEM14B;MCM6;CCNF;CDCA3;DEPDC1;DHFR;TRIP6;TACC3;PBK;KPNA2;TROAP;BHLHE40;ASPM;GMNN;UCHL3;CDCA4;SLC37A4;KIF22;HMGB2
prerank,ZHONG_PFC_C2_UNKNOWN_NPC,-0.8361851490830634,-2.344881295784925,0.0,0.0,0.0,48/73,11.42%,CALB2;TOP2A;CDC20;CCNB2;DLGAP5;CCNB1;TPX2;NUSAP1;UBE2C;CDKN3;MKI67;PTTG1;TUBA1C;CKAP2L;TTK;CENPF;KIF2C;PLK1;KIF4A;CDCA2;MFAP2;NDC80;CCNA2;PRR11;CEP70;AURKB;NEK2;CKS2;AURKA;KNSTRN;TRIM59;FAM83D;HJURP;KIF20A;GTSE1;TUBB4B;CDCA3;DEPDC1;TACC3;KPNA2;TROAP;CIT;ARHGAP11A;CENPE;ASPM;SPDL1;PSRC1;KIF22
prerank,DESCARTES_MAIN_FETAL_SQUAMOUS_EPITHELIAL_CELLS,-0.8397865100140024,-2.3373142833352794,0.0,0.0,0.0,20/92,4.64%,LY6D;S100A2;KRT17;DSP;S100A14;MAL2;KRT6B;CSTB;TRIM29;KRT16;SERPINB5;NCCRP1;GSDMC;KRT80;NECTIN1;PITX1;APOBEC3B;KRT15;NTN1;ZNF185
prerank,DESCARTES_FETAL_KIDNEY_URETERIC_BUD_CELLS,-0.7052268607948841,-2.3139486209244877,0.0,0.0,0.0,62/239,5.40%,MUC1;LY6D;S100A2;AARD;S100A14;MAL2;KRT7;KRT8;CLDN4;KRT23;KRT19;CLDN7;EDN2;TACSTD2;ITGB6;KRT5;PROM2;GRHL2;SPINT1;ELF3;MACC1;TRIM29;VGLL1;SDC1;PSCA;SYT8;MMP7;PRSS22;CLPSL1;ESRP1;SMIM22;LY6K;CGN;RDH10;ST14;IQANK1;FXYD3;S100P;KRT80;TTC39A;ERP27;PKP3;LAD1;MAP3K21;EVPL;PERP;NECTIN4;TMEM125;MYH14;KRT15;SPR;SLC9A2;TFAP2C;WNT7B;ALDH3B2;CDCP1;VTCN1;PTK6;WNT6;ANXA3;CCDC9B;PLEKHG6
prerank,GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS,-0.8493059908296213,-2.313327461100389,0.0,0.0,0.0,61/98,10.84%,TOP2A;FOXM1;CEP55;FEN1;TPX2;MYBL2;KIFC1;FAM111B;TRIP13;NUF2;MKI67;ANLN;BUB1;RAD54L;CKAP2L;KIF23;CENPF;DSCC1;KIF2C;EXO1;KIF4A;APOBEC3B;CDCA2;NDC80;CENPA;CCNA2;MCM10;AURKB;CDCA5;TEDC2;KIF15;SKA3;DDIAS;RAD51;PKMYT1;DIAPH3;BIRC5;DEPDC1B;CHAF1B;KIF11;FANCB;HJURP;DNA2;KIF20A;ERCC6L;GTSE1;CDC45;NCAPG;ESCO2;HMMR;BUB1B;CDCA3;DEPDC1;TACC3;PBK;TROAP;CIT;CIP2A;ELAVL2;ARHGAP11A;RAD51AP1
prerank,ZHONG_PFC_C1_OPC,-0.7302063289196707,-2.271173053783749,0.0,0.0,0.0,117/222,11.54%,CDK1;RAD21;S100A16;TOP2A;CDC20;CKS1B;FOXM1;CEP55;CCNB2;ECT2;DLGAP5;RHEB;PRC1;CCNB1;ACTN1;USP1;NDC1;TPX2;KIFC1;TRIP13;NUF2;TK1;NUSAP1;UBE2C;SMC4;UBE2T;CDKN3;MKI67;ANLN;BUB1;PTTG1;TUBA1C;CENPU;MAD2L1;MELK;CKAP2L;KIF23;TTK;CENPF;ANP32E;KIF2C;PLK1;KIF4A;CDCA2;PCLAF;ORC6;SHCBP1;NDC80;CENPA;BTG3;CCNA2;SPC25;PRR11;AURKB;CDC42BPA;HMGB3;KIF18A;NEK2;SKA1;CDCA5;PPIF;KIF15;SKA3;DDIAS;RAD51;CKS2;AURKA;ATAD2;CENPN;LGALS1;DIAPH3;KNSTRN;BIRC5;PCNA;DEPDC1B;NCAPG2;KIF11;KNL1;CKAP2;CKAP5;FAM83D;HJURP;CENPM;BCAP29;KIF20A;GTSE1;TUBA1B;ZWINT;IFT22;AAMDC;NCAPG;ESCO2;HMMR;FBXO5;BUB1B;SGO1;TUBB4B;CCNF;CDCA3;DEPDC1;DHFR;TACC3;CDKN2C;PBK;KPNA2;TROAP;CIP2A;ARHGAP11A;CENPE;RAD51AP1;ASPM;SPDL1;PSRC1;GMNN;CDCA4;KIF22;HMGB2
prerank,FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL,-0.7408271552132043,-2.2670700849055496,0.0,0.0,0.0,116/239,13.05%,LY6E;IFI27;S100A16;CSTB;SPINT2;FHL2;NHP2;CFL1;GSTP1;MARCKSL1;SMS;DMAC1;PPDPF;PKM;NDUFA4;S100A10;SRP9;AP2M1;CBX3;NME4;BTF3L4;NDUFAB1;PSMB5;ARPC5;DBI;PSMB2;ERH;ACTB;MDK;PPP1CA;UQCR10;CYC1;HMGN1;ATP5MF;BEX3;MGST3;SF3B6;GTF2H5;PSMC1;TMEM97;SSBP1;PRDX5;TMA7;SNRPC;ATP5F1C;SNRPG;VDAC3;NDUFB2;PSMA7;PSMD4;NDUFC2;PSMA4;SLIRP;TSPAN6;STOML2;HDAC2;HINT1;NME1;AURKAIP1;PLAAT3;CLNS1A;BEX4;DGUOK;PPP4C;NDUFB4;ATP5IF1;NDUFS8;MDH1;VDAC1;GNG5;NDUFS6;NDUFS5;SNRPE;PSMA3;MAGED2;PYURF;BANF1;COX8A;CALM2;ATP5F1E;TCEAL9;RBX1;COPS6;MDH2;TUBA1B;LSM3;LSM4;POLR2F;SEM1;DYNLL1;ATP5MC3;ACTG1;ST3GAL4;STMN1;COX5B;MORF4L1;ANAPC11;TCEAL8;MPST;LSM5;NEDD8;COX7A2;TUBB;HMGB2;PSMC3;ATP5F1B;UQCRQ;NDUFB11;DNPH1;MEAF6;DYNLT1;CWC15;TRMT112;FSCN1;ATP5MG;PFN1
