Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Cluster,GeneSet
prerank,MANNO_MIDBRAIN_NEUROTYPES_HNBML5,-0.5089554873134863,-1.3062551237375468,0.0103092783505154,0.120046423990772,1.0,150/432,23.67%,TAC1;TSHZ2;ANK2;RIPOR2;CD2;ZNF385D;ATP8A1;ANKRD44;PRKCB;GOLGA8B;RUNX1T1;THSD7A;BASP1;SLC38A1;NOVA1;POU2F2;MICU3;PLXNA4;SYTL2;GNG2;ZNF195;TUBB2B;NRXN2;PITPNC1;ABLIM3;ZFHX4;VASH2;BICD1;NAV1;STXBP1;SMAD9;TNFRSF6B;CACNA1G;ROBO1;KIF21B;LONRF2;DNM3;KCNMA1;HBB;DUSP4;PEG3;XKR6;PRKACB;CEP126;DCX;PLXNC1;PPFIA2;FRY;GATA2;CPEB4;TERF2IP;NOVA2;DACT1;NBEA;B3GALT2;SEC31B;ZNF697;ZNF441;PAPPA;BHLHE22;NUAK1;PNOC;MVB12B;CMIP;CSRNP3;GRIA4;MAP1B;DICER1;FTO;ZFHX3;ADD2;DPYSL3;CADPS;MAP6;PNMA2;CNR1;TSPOAP1;MDGA1;LRCH2;NSG1;ADAT2;IGBP1;UCP3;CHST1;IRGQ;TAL1;NRXN3;SAMD11;DACT3;SHISA2;PROX1;KLHL14;TOX2;RYR2;UBE2QL1;DOT1L;DGKE;TMEM192;PCGF3;ADGRB3;ZNF283;FBXL12;JPH4;KLF7;NTNG1;SCN2A;SCN3A;ZBTB43;EPHA3;PTPRN2;TENM1;STK32B;CPEB3;FUT9;EMX2;KCNH8;RTN1;PAPPA2;SV2A;AATK;BCL11B;FAM117B;ENO2;ZFPM2;PDP1;SLCO3A1;NALCN;ZNF793;CPEB2;NRXN1;ENC1;GRM7;BEND4;DOK6;USP49;DNAJC16;GAD1;SYBU;SCN3B;BCL11A;ACVR2A;CCDC85B;RALGPS1;KIF5C;SLC16A9;SIX3;MFSD6;PDE11A;PTPRT;GRIA2,3,C8
prerank,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_CILIATED_CELLS,0.4193958425993819,1.3045705334530726,0.0,0.128712911865539,1.0,21/128,7.31%,CD24;PROM1;PRDX1;ELF3;TSTD1;PSCA;FXYD3;SMIM22;NQO1;EZR;DPY30;CAPS;CDS1;PRDX5;CRIP1;TSPAN6;CETN2;SCGB2A1;MORN2;ATP5IF1;B9D1,3,C8
prerank,MENON_FETAL_KIDNEY_4_PODOCYTES,-0.5280889046556814,-1.3044961865353002,0.0222222222222222,0.1212839780276489,1.0,36/191,8.73%,SELENOP;ADAMTS9;CXCL12;PLTP;CIRBP;CPXM1;HTRA1;TGFBR3;TXNIP;DST;SPOCK2;LUC7L3;THSD7A;TPPP3;CLDN5;EVL;EFNB2;TMSB4X;AHNAK;TSC22D3;ENPEP;COL4A4;MPHOSPH8;IQGAP2;VIM;DACH1;ITIH5;HIPK2;CCNL2;BAZ2B;CD63;CLIC5;CMYA5;PARD3B;TERF2IP;TTC14,3,C8
prerank,SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C3_SKELETAL_PROGENITOR_LIKE_CELL,0.3905813817180647,1.3039471435261372,0.0,0.1279265742075659,1.0,60/263,7.50%,EFNA1;CRABP2;SLPI;SPTSSA;ENAH;S100A1;KDELR2;PYCR1;MIA;CALU;PCSK1N;PFN2;SDC1;CCN2;RHOD;CNN3;MAGED1;WFDC2;COL9A3;KDELR3;TPM1;S100P;SRP9;PRDX4;PERP;PSMB5;TM4SF1;YIF1A;FAM3C;LOX;MDK;CRYAB;ERG28;CALD1;EMP2;RCN2;MDFI;SDC4;RCN1;FN1;EI24;COL11A1;NT5E;DAP;SOX9;UXS1;CNIH4;MTX1;MYL9;MAGED2;PLP2;LOXL2;SLC44A2;CSPG4;SSR2;S100A13;SNRPE;SELENOM;DSTN;XPOT,3,C8
prerank,DESCARTES_FETAL_THYMUS_THYMOCYTES,-0.6684295616990641,-1.3010339246417384,0.1690140845070422,0.1247091796883158,1.0,4/20,9.01%,CD96;THEMIS;CD40LG;UBASH3A,3,C8
prerank,DESCARTES_MAIN_FETAL_METANEPHRIC_CELLS,-0.6651304373569079,-1.300976505692354,0.1066666666666666,0.1244938077598503,1.0,4/27,8.22%,BMPER;TRABD2B;DENND5B;HOXA9,3,C8
prerank,ZHONG_PFC_C3_ASTROCYTE,-0.51102357703601,-1.300477254744142,0.0212765957446808,0.124671365639289,1.0,83/350,14.41%,GAS7;ZEB2;RHOU;ANKRD44;PRKCB;GOLGA8B;AGAP2;RUNX1T1;PTPRS;LPL;CLDN5;POU6F1;PPP1R12C;BASP1;ZNF101;EVL;SLC38A1;DPYD;FLRT2;POU2F2;AKT3;PLXNA4;ME3;CELF2;RBM33;NRXN2;RESF1;SCG2;CNTN1;VASH2;CCL5;BMPR2;RERE;MEIS3;PSD;MTURN;CIC;STXBP1;PNPLA6;KCTD12;MEF2C;MICAL1;DNM3;CNTNAP1;PRDM2;DUSP4;SH3PXD2A;EGFL7;CELF6;CHST15;PPFIA2;CBFA2T3;BICDL1;NBEA;NLK;SCN9A;SEC31B;DIP2C;PRRT2;BAZ2A;SEMA6C;MYO16;KCNT2;MAST3;BPTF;FAM193B;ZNF527;CPLX1;DYNC1I1;DPYSL3;GAB2;MAP6;VPS16;TSPOAP1;MDGA1;ZNF573;VSTM2L;MAPK11;ZNF324;MMP17;ZNF780B;TUBGCP6;ZFP90,3,C8
prerank,HE_LIM_SUN_FETAL_LUNG_C4_ILC2_CELL,-0.5436975885729156,-1.2996350170293367,0.0561797752808988,0.1255171134147195,1.0,39/146,9.78%,SOCS3;NR4A3;TNFSF14;MAF;EPAS1;CFH;SLAMF1;TIMP1;SOCS2;TMEM273;IL1RL1;MDFIC;RNF144A;SH2B3;BIRC3;PPARG;ACSL4;DUSP6;ANTXR2;CD200R1;KIT;CCR2;CYSLTR1;NTRK1;CD84;TYMP;MSI2;GFI1;PHLDA1;SAMSN1;SEL1L3;MAST4;TTN;BCL3;INPP4B;PLAGL1;SCART1;RASGRP4;NAMPT,3,C8
prerank,VANGURP_PANCREATIC_ALPHA_CELL,-0.6071897679116758,-1.29952170880759,0.1159420289855072,0.125217843713664,1.0,8/36,7.25%,GPX3;SLC7A2;TMEM176A;TMEM176B;ALDH1A1;FAP;KCTD12;CLU,3,C8
prerank,DESCARTES_MAIN_FETAL_ERYTHROBLASTS,0.4347351017397324,1.298763913428031,0.0,0.1315914976848637,1.0,54/201,14.27%,CDC20;RECQL4;DLGAP5;PRC1;STEAP3;NUSAP1;STIL;EIF2AK1;KIF23;KIF4A;EXO1;TFDP1;ORC1;DCUN1D1;GLRX5;RBM38;SLC25A37;AURKA;CENPI;HJURP;MBOAT2;GMPR;CENPL;HK1;PPME1;FAM83D;ATAD5;NCAPG;ZNF367;SLC6A9;CCNF;HMMR;DCAF12;PIGC;CENPE;TROAP;TMEM14B;RCCD1;DBF4;ATG14;RSAD2;KIF22;FECH;BNIP3L;SELENBP1;FBXO9;ACSL6;KIF18B;E2F2;GCLC;RCL1;SLC25A39;UBAC1;MOSPD1,3,C8
